tissue	var_count	distance_bin	distance_min	distance_max	distance_label	hex
neuron	2	n_bin3	100	250	100-250 Kb	#0096a0
neuron	4	n_bin4	250	1000	250-1000 Kb	#49bcbc
neuron	0	n_bin5	1000	30000	> 1000Kb	#96ced3
plasmablast	2	n_bin1	0	10	0-10 Kb	#003648
plasmablast	3	n_bin2	10	100	10-100 Kb	#006479
plasmablast	0	n_bin3	100	250	100-250 Kb	#0096a0
plasmablast	2	n_bin4	250	1000	250-1000 Kb	#49bcbc
plasmablast	0	n_bin5	1000	30000	> 1000Kb	#96ced3
HSPC	2	n_bin1	0	10	0-10 Kb	#003648
HSPC	0	n_bin2	10	100	10-100 Kb	#006479
HSPC	0	n_bin3	100	250	100-250 Kb	#0096a0
HSPC	1	n_bin4	250	1000	250-1000 Kb	#49bcbc
HSPC	0	n_bin5	1000	30000	> 1000Kb	#96ced3
